Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed,Wall_Clock_Time
0,48.0,1000,0.24370875605382025,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
1,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
2,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
4,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
8,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
16,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
32,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
64,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
128,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
256,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
512,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
1024,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
2048,55.0,2002,0.3603936230065301,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000,0.01,2048,1000,0.01,25,55,0.36377692222595215
0,49.0,1000,0.05759273999137804,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
1,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
2,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
4,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
8,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
16,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
32,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
64,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
128,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
256,55.0,2002,0.2255276619689539,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000,0.01,2048,1000,0.01,25,888,0.23060107231140137
