Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
128,42.0,256,0.05175978702027351,"[2, 6, 6, 2, 1, 2, 2, 2, 7, 5, 0, 0, 1, 0, 5, 0, 4, 5, 5, 4, 2, 0, 0, 2, 1]",geometric,1000,0.99,0.001,999.4799320389885,1000,2048,geom_decay,25,888,0.23464179039001465
256,47.0,512,0.08371377101866528,"[4, 2, 1, 6, 2, 5, 3, 3, 2, 0, 4, 2, 5, 5, 5, 5, 5, 4, 5, 1, 0, 5, 2, 2, 0]",geometric,1000,0.99,0.001,999.1590023226439,1000,2048,geom_decay,25,888,0.23464179039001465
512,46.0,1016,0.1891862089978531,"[5, 4, 3, 5, 4, 3, 0, 3, 1, 3, 5, 2, 4, 3, 6, 5, 0, 3, 6, 5, 2, 3, 7, 7, 4]",geometric,1000,0.99,0.001,998.1004215479405,1000,2048,geom_decay,25,888,0.23464179039001465
1024,55.0,1234,0.22659008397022262,"[5, 3, 2, 0, 5, 7, 2, 6, 2, 0, 1, 1, 7, 7, 1, 4, 1, 0, 7, 4, 4, 1, 3, 7, 1]",geometric,1000,0.99,0.001,997.7252846500693,1000,2048,geom_decay,25,888,0.23464179039001465
2048,55.0,1234,0.22659008397022262,"[5, 3, 2, 0, 5, 7, 2, 6, 2, 0, 1, 1, 7, 7, 1, 4, 1, 0, 7, 4, 4, 1, 3, 7, 1]",geometric,1000,0.99,0.001,997.7252846500693,1000,2048,geom_decay,25,888,0.23464179039001465
0,47.0,0,0.00015991099644452333,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 5, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",geometric,1000,0.99,0.001,999.9983928420706,1000,2048,geom_decay,25,12345,0.09892702102661133
1,46.0,2,0.0015461299917660654,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",geometric,1000,0.99,0.001,999.9844609950411,1000,2048,geom_decay,25,12345,0.09892702102661133
2,45.0,4,0.0028835239936597645,"[2, 5, 5, 1, 4, 1, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",geometric,1000,0.99,0.001,999.9710200353493,1000,2048,geom_decay,25,12345,0.09892702102661133
4,46.0,8,0.004489329003263265,"[2, 3, 5, 1, 4, 1, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 6]",geometric,1000,0.99,0.001,999.954881753619,1000,2048,geom_decay,25,12345,0.09892702102661133
8,47.0,16,0.0062198410159908235,"[4, 3, 5, 1, 4, 2, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 4, 7, 6, 0, 2, 1, 3, 6]",geometric,1000,0.99,0.001,999.9374904626364,1000,2048,geom_decay,25,12345,0.09892702102661133
16,47.0,32,0.00865099800284952,"[4, 3, 5, 1, 4, 2, 0, 3, 6, 2, 1, 1, 0, 1, 4, 6, 1, 4, 2, 6, 0, 2, 1, 3, 6]",geometric,1000,0.99,0.001,999.9130583442483,1000,2048,geom_decay,25,12345,0.09892702102661133
32,43.0,64,0.012223443016409874,"[2, 3, 5, 1, 4, 1, 2, 1, 6, 2, 1, 7, 0, 1, 3, 6, 1, 3, 6, 6, 2, 2, 6, 3, 6]",geometric,1000,0.99,0.001,999.8771578381153,1000,2048,geom_decay,25,12345,0.09892702102661133
64,49.0,128,0.017873484001029283,"[4, 1, 4, 7, 4, 4, 7, 5, 0, 7, 7, 4, 3, 6, 0, 2, 1, 1, 1, 5, 2, 5, 6, 5, 0]",geometric,1000,0.99,0.001,999.8203816162313,1000,2048,geom_decay,25,12345,0.09892702102661133
128,51.0,256,0.029124239983502775,"[3, 6, 7, 5, 7, 6, 5, 0, 7, 2, 7, 6, 2, 0, 3, 0, 7, 1, 1, 5, 5, 6, 1, 5, 2]",geometric,1000,0.99,0.001,999.7073344416101,1000,2048,geom_decay,25,12345,0.09892702102661133
256,50.0,512,0.05333634099224582,"[3, 2, 6, 6, 4, 6, 0, 0, 7, 5, 3, 7, 1, 2, 6, 6, 4, 4, 6, 1, 1, 5, 3, 1, 0]",geometric,1000,0.99,0.001,999.4640955079668,1000,2048,geom_decay,25,12345,0.09892702102661133
