Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
0,109.0,0,0.00047031400026753545,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999999529686,250,2048,arith_decay,
1,108.0,2,0.027959421975538135,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999972040578,250,2048,arith_decay,
2,108.0,4,0.06173654895974323,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999938263451,250,2048,arith_decay,
4,109.0,8,0.10204635694390163,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999897953643,250,2048,arith_decay,
8,110.0,16,0.11424597899895161,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999885754021,250,2048,arith_decay,
16,110.0,32,0.11820586596149951,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",arithmetic,250,0.0001,0.001,249.9999881794134,250,2048,arith_decay,
32,107.0,64,0.12583775294478983,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",arithmetic,250,0.0001,0.001,249.9999874162247,250,2048,arith_decay,
64,109.0,128,0.15673054696526378,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",arithmetic,250,0.0001,0.001,249.9999843269453,250,2048,arith_decay,
128,110.0,256,0.21197006094735116,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",arithmetic,250,0.0001,0.001,249.9999788029939,250,2048,arith_decay,
256,114.0,512,0.2493758889613673,"[9, 4, 1, 1, 7, 3, 4, 2, 4, 1, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 4, 8, 5, 4, 6, 0, 5, 4, 6, 1, 6, 9, 0, 8, 8]",arithmetic,250,0.0001,0.001,249.9999750624111,250,2048,arith_decay,
512,112.0,1024,0.3455887779709883,"[3, 7, 6, 0, 2, 7, 4, 0, 8, 4, 9, 9, 2, 8, 3, 2, 3, 2, 3, 3, 0, 1, 0, 7, 3, 2, 8, 0, 3, 0, 2, 2, 6, 1, 1, 5, 1, 6, 7, 3, 5, 0, 7, 7, 8, 3, 5, 7, 4, 2]",arithmetic,250,0.0001,0.001,249.9999654411222,250,2048,arith_decay,
1024,111.0,2048,0.5870085599599406,"[6, 6, 5, 6, 6, 8, 7, 4, 2, 5, 0, 6, 1, 1, 6, 9, 2, 8, 2, 6, 0, 3, 5, 5, 8, 7, 7, 8, 1, 2, 3, 6, 0, 6, 7, 8, 3, 1, 0, 3, 2, 4, 2, 3, 1, 2, 7, 6, 2, 6]",arithmetic,250,0.0001,0.001,249.999941299144,250,2048,arith_decay,
2048,113.0,4096,1.4948455709964037,"[2, 5, 7, 1, 2, 1, 8, 0, 8, 6, 3, 1, 3, 3, 0, 1, 5, 9, 5, 0, 9, 9, 9, 3, 1, 4, 1, 8, 0, 3, 2, 5, 9, 4, 6, 3, 3, 9, 3, 0, 9, 1, 6, 3, 2, 7, 5, 2, 7, 2]",arithmetic,250,0.0001,0.001,249.9998505154429,250,2048,arith_decay,
0,109.0,0,0.000266672985162586,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,,0.001,249.99966665899078,250,2048,exp_decay,0.005
1,108.0,2,0.0030890569905750453,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,,0.001,249.99613870858124,250,2048,exp_decay,0.005
2,108.0,4,0.00648197898408398,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,,0.001,249.99189765756864,250,2048,exp_decay,0.005
4,109.0,8,0.008317617990542203,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",exponential,250,,0.001,249.98960319370497,250,2048,exp_decay,0.005
8,110.0,16,0.010428888024762273,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",exponential,250,,0.001,249.98696422984347,250,2048,exp_decay,0.005
16,110.0,32,0.014659753011073917,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",exponential,250,,0.001,249.98167598030838,250,2048,exp_decay,0.005
32,107.0,64,0.02086622000206262,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",exponential,250,,0.001,249.97391858557242,250,2048,exp_decay,0.005
64,109.0,128,0.03001260501332581,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",exponential,250,,0.001,249.96248705845647,250,2048,exp_decay,0.005
128,110.0,256,0.04972416703822091,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",exponential,250,,0.001,249.9378525171019,250,2048,exp_decay,0.005
256,114.0,512,0.09273864200804383,"[9, 4, 1, 1, 7, 3, 4, 2, 4, 1, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 4, 8, 5, 4, 6, 0, 5, 4, 6, 1, 6, 9, 0, 8, 8]",exponential,250,,0.001,249.88410356976044,250,2048,exp_decay,0.005
512,110.0,1023,0.17982954101171345,"[0, 7, 5, 0, 9, 3, 4, 0, 2, 5, 8, 0, 5, 1, 8, 0, 3, 4, 3, 3, 8, 9, 7, 7, 1, 2, 8, 7, 5, 1, 4, 4, 1, 0, 3, 0, 1, 7, 7, 7, 2, 0, 6, 7, 9, 3, 4, 8, 3, 1]",exponential,250,,0.001,249.7753141017778,250,2048,exp_decay,0.005
1024,119.0,2016,0.47790270601399243,"[6, 7, 7, 0, 6, 8, 1, 4, 2, 7, 3, 6, 0, 2, 8, 0, 4, 8, 2, 4, 5, 0, 2, 4, 7, 0, 7, 8, 3, 1, 5, 5, 9, 2, 1, 5, 3, 1, 8, 0, 4, 4, 2, 3, 1, 9, 5, 4, 9, 7]",exponential,250,,0.001,249.40333477120305,250,2048,exp_decay,0.005
2048,123.0,2349,0.6288332809926942,"[4, 8, 1, 5, 9, 6, 0, 0, 5, 8, 8, 5, 1, 9, 8, 9, 8, 5, 4, 7, 5, 3, 7, 3, 5, 1, 8, 3, 9, 2, 6, 3, 6, 2, 0, 6, 1, 2, 8, 0, 3, 0, 3, 0, 4, 3, 7, 4, 2, 7]",exponential,250,,0.001,249.21519282746823,250,2048,exp_decay,0.005
0,109.0,0,0.00029710103990510106,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.99925350980612,250,2048,geom_decay,
1,108.0,2,0.00221766100730747,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.99442800261207,250,2048,geom_decay,
2,108.0,4,0.0044278730056248605,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.9888748448397,250,2048,geom_decay,
4,109.0,8,0.006408710032701492,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.98389809651079,250,2048,geom_decay,
8,110.0,16,0.008525860030204058,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.97857897858685,250,2048,geom_decay,
16,110.0,32,0.01332143199397251,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",geometric,250,0.99,0.001,249.9665310241474,250,2048,geom_decay,
32,107.0,64,0.020460152998566628,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",geometric,250,0.99,0.001,249.94859743285988,250,2048,geom_decay,
64,109.0,128,0.03206378500908613,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",geometric,250,0.99,0.001,249.9194500273653,250,2048,geom_decay,
128,110.0,256,0.05301661300472915,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",geometric,250,0.99,0.001,249.86682679118044,250,2048,geom_decay,
256,116.0,510,0.09734370600199327,"[9, 0, 1, 1, 7, 3, 4, 2, 4, 2, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 9, 8, 5, 4, 6, 0, 5, 4, 6, 8, 6, 9, 0, 8, 8]",geometric,250,0.99,0.001,249.75553536925204,250,2048,geom_decay,
512,115.0,1001,0.20929021999472752,"[0, 7, 8, 3, 7, 6, 4, 0, 7, 7, 5, 0, 3, 8, 1, 2, 1, 8, 2, 0, 9, 9, 0, 6, 8, 3, 8, 6, 3, 0, 4, 2, 1, 0, 3, 2, 1, 2, 7, 6, 5, 6, 7, 7, 7, 4, 5, 8, 3, 2]",geometric,250,0.99,0.001,249.4746934178836,250,2048,geom_decay,
1024,123.0,1625,0.40998941101133823,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,0.99,0.001,248.9719866159242,250,2048,geom_decay,
2048,123.0,1625,0.40998941101133823,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,0.99,0.001,248.9719866159242,250,2048,geom_decay,
