Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
0,206.0,0,0.0022093220031820238,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 0, 0, 9, 4, 6, 9, 6, 5, 3, 5, 1, 7, 5, 9, 3, 6, 2, 2, 6, 0, 8, 1, 7, 2, 9, 1, 0, 9, 1, 7, 1, 2, 3, 4]",arithmetic,750,0.0001,0.001,749.9999997790678,750,2048,arith_decay,
1,205.0,2,0.005785261979326606,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 8, 0, 9, 4, 6, 9, 6, 5, 3, 5, 1, 7, 5, 9, 3, 6, 2, 2, 6, 0, 8, 1, 7, 2, 9, 1, 0, 9, 1, 7, 1, 2, 3, 4]",arithmetic,750,0.0001,0.001,749.9999994214738,750,2048,arith_decay,
2,205.0,4,0.024787303991615772,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 8, 0, 9, 4, 6, 9, 6, 5, 3, 5, 1, 7, 5, 9, 3, 6, 2, 2, 6, 0, 8, 1, 7, 2, 9, 1, 0, 9, 1, 7, 1, 2, 3, 2]",arithmetic,750,0.0001,0.001,749.9999975212696,750,2048,arith_decay,
4,202.0,8,0.034257354971487075,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 8, 0, 9, 4, 6, 9, 6, 5, 3, 7, 1, 7, 4, 9, 3, 6, 2, 2, 6, 0, 8, 1, 7, 2, 9, 1, 0, 9, 1, 7, 1, 2, 3, 2]",arithmetic,750,0.0001,0.001,749.9999965742645,750,2048,arith_decay,
8,201.0,16,0.040788384969346225,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 5, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 1, 3, 9, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 8, 0, 9, 4, 6, 9, 6, 5, 3, 7, 1, 7, 4, 9, 3, 6, 2, 2, 6, 0, 8, 1, 7, 2, 9, 1, 0, 9, 1, 7, 7, 2, 3, 2]",arithmetic,750,0.0001,0.001,749.9999959211615,750,2048,arith_decay,
16,201.0,32,0.13906891498481855,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 5, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 9, 6, 3, 8, 7, 2, 2, 3, 1, 3, 0, 2, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 7, 4, 2, 0, 8, 3, 8, 0, 9, 4, 6, 9, 6, 5, 3, 7, 2, 7, 4, 9, 3, 6, 2, 2, 0, 0, 8, 1, 7, 2, 9, 1, 0, 7, 1, 7, 7, 3, 9, 2]",arithmetic,750,0.0001,0.001,749.9999860931085,750,2048,arith_decay,
32,198.0,64,0.15574797400040552,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 0, 7, 1, 8, 7, 8, 3, 7, 0, 7, 5, 1, 8, 0, 8, 0, 8, 4, 4, 6, 9, 1, 8, 2, 0, 7, 2, 8, 0, 9, 4, 3, 8, 1, 2, 2, 1, 4, 3, 0, 0, 8, 0, 3, 2, 1, 2, 0, 5, 4, 3, 1, 4, 2, 0, 8, 3, 8, 0, 9, 7, 6, 9, 6, 5, 3, 7, 2, 7, 4, 9, 3, 6, 2, 5, 0, 0, 8, 1, 7, 2, 9, 6, 0, 7, 3, 7, 7, 3, 4, 2]",arithmetic,750,0.0001,0.001,749.9999844252026,750,2048,arith_decay,
64,203.0,128,0.19133698800578713,"[7, 8, 9, 5, 5, 6, 6, 5, 3, 9, 7, 1, 3, 7, 1, 3, 7, 0, 7, 9, 1, 4, 0, 8, 7, 8, 4, 4, 6, 2, 1, 2, 2, 0, 7, 2, 9, 7, 9, 1, 3, 8, 1, 5, 2, 1, 8, 3, 0, 4, 8, 8, 3, 2, 2, 2, 0, 5, 4, 3, 1, 4, 2, 0, 8, 2, 8, 0, 9, 7, 6, 9, 6, 5, 3, 1, 4, 7, 2, 7, 3, 6, 2, 5, 0, 0, 9, 1, 7, 2, 9, 6, 0, 7, 3, 7, 7, 0, 4, 2]",arithmetic,750,0.0001,0.001,749.9999808663011,750,2048,arith_decay,
128,214.0,256,0.22162743797525764,"[7, 8, 7, 5, 5, 6, 6, 6, 0, 9, 0, 1, 3, 5, 5, 3, 7, 0, 7, 9, 1, 0, 9, 9, 6, 8, 4, 4, 6, 5, 1, 2, 1, 0, 4, 4, 6, 8, 9, 1, 0, 5, 8, 4, 2, 1, 0, 3, 0, 4, 9, 9, 8, 2, 5, 7, 0, 5, 9, 3, 1, 4, 7, 0, 9, 2, 2, 8, 8, 7, 8, 9, 6, 5, 4, 1, 2, 5, 2, 8, 8, 6, 5, 0, 0, 9, 9, 0, 7, 4, 9, 0, 0, 7, 3, 7, 7, 6, 3, 2]",arithmetic,750,0.0001,0.001,749.9999778372562,750,2048,arith_decay,
256,205.0,512,0.278136528970208,"[2, 8, 8, 5, 1, 6, 6, 2, 0, 3, 4, 1, 5, 2, 6, 0, 7, 0, 6, 4, 5, 0, 6, 2, 5, 8, 9, 4, 6, 8, 9, 3, 8, 0, 4, 5, 6, 0, 8, 7, 0, 7, 6, 8, 9, 1, 4, 6, 8, 9, 6, 5, 8, 9, 9, 1, 6, 8, 3, 0, 8, 1, 1, 0, 6, 2, 1, 1, 5, 8, 2, 5, 4, 5, 4, 2, 6, 6, 2, 8, 8, 7, 5, 3, 2, 5, 9, 2, 7, 4, 2, 0, 9, 7, 3, 1, 2, 6, 1, 9]",arithmetic,750,0.0001,0.001,749.9999721863471,750,2048,arith_decay,
