Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
512,0.0,1023,0.14877718398929574,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",exponential,750,,0.001,749.4422930209428,750,2048,exp_decay,0.005
1024,1.0,2039,0.5719001409888733,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",exponential,750,,0.001,747.8584378298096,750,2048,exp_decay,0.005
2048,46.0,2948,1.0483996359980665,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exponential,750,,0.001,746.0787878376128,750,2048,exp_decay,0.005
0,1.0,0,0.00010922198998741806,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",geometric,750,0.99,0.001,749.9991767121904,750,2048,geom_decay,
1,3.0,2,0.002298672014148906,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",geometric,750,0.99,0.001,749.9826733808248,750,2048,geom_decay,
2,3.0,4,0.00383391699870117,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,750,0.99,0.001,749.9711014416619,750,2048,geom_decay,
4,3.0,8,0.005214912991505116,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",geometric,750,0.99,0.001,749.9606923098404,750,2048,geom_decay,
8,0.0,16,0.00691594899399206,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",geometric,750,0.99,0.001,749.947871104097,750,2048,geom_decay,
16,0.0,32,0.008615655009634793,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",geometric,750,0.99,0.001,749.9350601417856,750,2048,geom_decay,
32,7.0,64,0.011552529002074152,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,750,0.99,0.001,749.9129249577788,750,2048,geom_decay,
64,4.0,128,0.01526048401137814,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",geometric,750,0.99,0.001,749.8849790785757,750,2048,geom_decay,
128,1.0,256,0.024983461014926434,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",geometric,750,0.99,0.001,749.8117045102641,750,2048,geom_decay,
256,5.0,512,0.04782729101134464,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",geometric,750,0.99,0.001,749.6395763779935,750,2048,geom_decay,
512,33.0,1002,0.11164812301285565,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",geometric,750,0.99,0.001,749.158896139782,750,2048,geom_decay,
1024,42.0,1744,0.29209891299251467,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",geometric,750,0.99,0.001,747.8014595644379,750,2048,geom_decay,
2048,46.0,2012,0.440641755994875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,750,0.99,0.001,746.6858956048121,750,2048,geom_decay,
