Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Algorithm,Wall_Clock_Time,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,Restarts,current_restart
0,48.0,1000,0.3218569650198333,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
1,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
2,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
4,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
8,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
16,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
32,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
64,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
128,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
256,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
512,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
1024,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
2048,55.0,2002,0.60409996798262,"[2, 3, 6, 5, 4, 5, 1, 7, 0, 7, 6, 1, 3, 7, 6, 2, 2, 0, 3, 4, 6, 3, 0, 5, 0]",1000.0,0.01,2048,GA,0.61037278175354,,,,,,,,
0,49.0,1000,0.06041510700015351,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",1000.0,0.01,2048,GA,0.18903875350952148,,,,,,,,
1,55.0,2002,0.1838520070305094,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000.0,0.01,2048,GA,0.18903875350952148,,,,,,,,
2,55.0,2002,0.1838520070305094,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000.0,0.01,2048,GA,0.18903875350952148,,,,,,,,
