Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Algorithm,Wall_Clock_Time,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,Restarts,current_restart
0,109.0,1000,0.6663518360001035,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
1,119.0,2002,0.9702772000455298,"[4, 6, 6, 0, 8, 0, 6, 1, 8, 9, 4, 6, 8, 3, 4, 6, 7, 9, 9, 5, 9, 7, 5, 1, 0, 2, 2, 2, 3, 1, 4, 7, 0, 1, 8, 1, 0, 0, 3, 1, 1, 1, 2, 0, 4, 1, 0, 5, 8, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
2,121.0,3004,1.127112977032084,"[3, 7, 7, 0, 0, 5, 4, 9, 6, 5, 3, 6, 9, 5, 9, 0, 7, 7, 6, 7, 7, 6, 9, 3, 8, 2, 0, 2, 6, 6, 5, 5, 1, 1, 8, 3, 2, 5, 8, 3, 5, 9, 2, 7, 9, 6, 4, 3, 6, 4]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
4,121.0,5006,1.4487839090288617,"[3, 7, 7, 0, 0, 5, 4, 9, 6, 5, 3, 6, 9, 5, 9, 0, 7, 7, 6, 7, 7, 6, 9, 3, 8, 2, 0, 2, 6, 6, 5, 5, 1, 1, 8, 3, 2, 5, 8, 3, 5, 9, 2, 7, 9, 6, 4, 3, 6, 4]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
8,121.0,9010,2.0438526979996823,"[3, 7, 7, 0, 0, 5, 4, 9, 6, 5, 3, 6, 9, 5, 9, 0, 7, 7, 6, 7, 7, 6, 9, 3, 8, 2, 0, 2, 6, 6, 5, 5, 1, 1, 8, 3, 2, 5, 8, 3, 5, 9, 2, 7, 9, 6, 4, 3, 6, 4]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
16,122.0,17019,3.2791671800077893,"[0, 1, 8, 7, 1, 4, 0, 3, 6, 4, 2, 1, 3, 1, 0, 1, 8, 3, 4, 7, 4, 0, 6, 3, 3, 2, 5, 6, 9, 8, 7, 0, 5, 2, 7, 5, 3, 9, 1, 9, 3, 9, 8, 2, 8, 7, 8, 6, 6, 9]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
32,122.0,33035,5.6844705560361035,"[0, 1, 8, 7, 1, 4, 0, 3, 6, 4, 2, 1, 3, 1, 0, 1, 8, 3, 4, 7, 4, 0, 6, 3, 3, 2, 5, 6, 9, 8, 7, 0, 5, 2, 7, 5, 3, 9, 1, 9, 3, 9, 8, 2, 8, 7, 8, 6, 6, 9]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
64,122.0,65067,11.278231174044777,"[0, 1, 8, 7, 1, 4, 0, 3, 6, 4, 2, 1, 3, 1, 0, 1, 8, 3, 4, 7, 4, 0, 6, 3, 3, 2, 5, 6, 9, 8, 7, 0, 5, 2, 7, 5, 3, 9, 1, 9, 3, 9, 8, 2, 8, 7, 8, 6, 6, 9]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
128,123.0,81084,14.781319627014454,"[3, 1, 5, 8, 7, 7, 1, 4, 9, 9, 2, 7, 6, 7, 8, 1, 4, 7, 6, 5, 8, 0, 6, 0, 7, 5, 9, 8, 1, 8, 1, 5, 2, 2, 6, 5, 1, 9, 1, 9, 3, 2, 0, 0, 7, 6, 8, 1, 7, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
256,123.0,81084,14.781319627014454,"[3, 1, 5, 8, 7, 7, 1, 4, 9, 9, 2, 7, 6, 7, 8, 1, 4, 7, 6, 5, 8, 0, 6, 0, 7, 5, 9, 8, 1, 8, 1, 5, 2, 2, 6, 5, 1, 9, 1, 9, 3, 2, 0, 0, 7, 6, 8, 1, 7, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
512,123.0,81084,14.781319627014454,"[3, 1, 5, 8, 7, 7, 1, 4, 9, 9, 2, 7, 6, 7, 8, 1, 4, 7, 6, 5, 8, 0, 6, 0, 7, 5, 9, 8, 1, 8, 1, 5, 2, 2, 6, 5, 1, 9, 1, 9, 3, 2, 0, 0, 7, 6, 8, 1, 7, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
1024,123.0,81084,14.781319627014454,"[3, 1, 5, 8, 7, 7, 1, 4, 9, 9, 2, 7, 6, 7, 8, 1, 4, 7, 6, 5, 8, 0, 6, 0, 7, 5, 9, 8, 1, 8, 1, 5, 2, 2, 6, 5, 1, 9, 1, 9, 3, 2, 0, 0, 7, 6, 8, 1, 7, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
2048,123.0,81084,14.781319627014454,"[3, 1, 5, 8, 7, 7, 1, 4, 9, 9, 2, 7, 6, 7, 8, 1, 4, 7, 6, 5, 8, 0, 6, 0, 7, 5, 9, 8, 1, 8, 1, 5, 2, 2, 6, 5, 1, 9, 1, 9, 3, 2, 0, 0, 7, 6, 8, 1, 7, 8]",1000.0,0.4,2048,GA,14.785454988479614,,,,,,,,
0,108.0,1000,0.1034936310024932,"[6, 3, 7, 9, 1, 0, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 1, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
1,121.0,2002,0.25932517199544236,"[2, 5, 0, 3, 4, 6, 9, 7, 1, 3, 9, 7, 1, 2, 4, 5, 4, 5, 5, 4, 0, 1, 7, 3, 2, 1, 8, 5, 4, 7, 0, 8, 1, 8, 4, 6, 0, 6, 3, 0, 1, 9, 8, 9, 3, 1, 3, 7, 5, 9]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
2,121.0,3003,0.4138970350031741,"[2, 5, 0, 3, 4, 6, 9, 7, 1, 3, 9, 7, 1, 2, 4, 5, 4, 5, 5, 4, 0, 1, 7, 3, 2, 1, 8, 5, 4, 7, 0, 8, 1, 8, 4, 6, 0, 6, 3, 0, 1, 9, 8, 9, 3, 1, 3, 7, 5, 9]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
4,122.0,5006,0.745099576015491,"[4, 3, 7, 1, 6, 4, 3, 8, 5, 2, 8, 9, 6, 6, 3, 3, 1, 0, 2, 1, 5, 5, 9, 1, 7, 6, 1, 9, 8, 8, 8, 4, 2, 5, 7, 1, 0, 7, 3, 8, 7, 1, 4, 3, 4, 0, 9, 6, 6, 2]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
8,122.0,9010,1.3480541710159741,"[4, 3, 7, 1, 6, 4, 3, 8, 5, 2, 8, 9, 6, 6, 3, 3, 1, 0, 2, 1, 5, 5, 9, 1, 7, 6, 1, 9, 8, 8, 8, 4, 2, 5, 7, 1, 0, 7, 3, 8, 7, 1, 4, 3, 4, 0, 9, 6, 6, 2]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
16,122.0,17018,2.554966334020719,"[4, 3, 7, 1, 6, 4, 3, 8, 5, 2, 8, 9, 6, 6, 3, 3, 1, 0, 2, 1, 5, 5, 9, 1, 7, 6, 1, 9, 8, 8, 8, 4, 2, 5, 7, 1, 0, 7, 3, 8, 7, 1, 4, 3, 4, 0, 9, 6, 6, 2]",1000.0,0.4,2048,GA,6.327731132507324,,,,,,,,
