Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
128,52.0,256,0.03359981795074418,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",geometric,1000,,0.001,999.6623675556451,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
256,51.0,512,0.05962518497835845,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",geometric,1000,,0.001,999.4009263819396,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
512,47.0,1017,0.19281923497328535,"[2, 3, 3, 1, 4, 1, 5, 0, 5, 6, 0, 2, 0, 1, 2, 7, 0, 7, 0, 5, 0, 7, 1, 1, 1]",geometric,1000,,0.001,998.0639784416103,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
1024,55.0,1261,0.24332184594823048,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,,0.001,997.557521444421,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
2048,55.0,1261,0.24332184594823048,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,,0.001,997.557521444421,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
0,109.0,0,0.0002443209523335099,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 9, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99969459899611,250,2048,exp_decay,50,55,0.6113400459289551,
1,108.0,2,0.00319313898216933,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 1, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99600860813504,250,2048,exp_decay,50,55,0.6113400459289551,
2,108.0,4,0.006129660992883146,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 8, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 7, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99233804117253,250,2048,exp_decay,50,55,0.6113400459289551,
4,109.0,8,0.007899355958215892,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.99012600004912,250,2048,exp_decay,50,55,0.6113400459289551,
8,110.0,16,0.010644489957485348,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",exponential,250,0.005,0.001,249.9866947416255,250,2048,exp_decay,50,55,0.6113400459289551,
