Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
512,51.0,1024,0.12879992899252102,"[6, 2, 5, 1, 4, 1, 1, 1, 3, 6, 0, 1, 0, 2, 2, 7, 7, 7, 2, 5, 6, 3, 2, 5, 1]",exponential,1000,,0.001,999.3562076783011,1000,2048,exp_decay,0.005
1024,50.0,2029,0.33331597095821053,"[5, 3, 7, 6, 3, 2, 5, 7, 3, 0, 0, 7, 4, 6, 1, 7, 5, 4, 3, 6, 7, 0, 2, 3, 2]",exponential,1000,,0.001,998.3348081182521,1000,2048,exp_decay,0.005
2048,55.0,2763,0.5710556379635818,"[6, 0, 7, 7, 7, 1, 2, 0, 2, 6, 1, 1, 0, 4, 0, 7, 4, 4, 2, 7, 5, 7, 4, 3, 6]",exponential,1000,,0.001,997.1487942400572,1000,2048,exp_decay,0.005
0,48.0,0,0.00018231099238619208,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9981677149754,1000,2048,geom_decay,
1,47.0,2,0.001647844968829304,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9834387417678,1000,2048,geom_decay,
2,49.0,4,0.0029952089535072446,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9698975971522,1000,2048,geom_decay,
4,48.0,8,0.004461456963326782,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9551618643818,1000,2048,geom_decay,
8,48.0,16,0.006221323972567916,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9374755593565,1000,2048,geom_decay,
16,47.0,32,0.008403920975979418,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",geometric,1000,0.99,0.001,999.9155413385387,1000,2048,geom_decay,
32,45.0,64,0.011533121985848993,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",geometric,1000,0.99,0.001,999.88409496811,1000,2048,geom_decay,
64,48.0,128,0.01693544100271538,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",geometric,1000,0.99,0.001,999.8298076144631,1000,2048,geom_decay,
128,52.0,256,0.02764241799013689,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",geometric,1000,0.99,0.001,999.7222230025723,1000,2048,geom_decay,
256,51.0,512,0.05108411895344034,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",geometric,1000,0.99,0.001,999.4867192214098,1000,2048,geom_decay,
512,47.0,1017,0.11405725398799405,"[2, 3, 3, 1, 4, 1, 5, 0, 5, 6, 0, 2, 0, 1, 2, 7, 0, 7, 0, 5, 0, 7, 1, 1, 1]",geometric,1000,0.99,0.001,998.8543430574749,1000,2048,geom_decay,
1024,55.0,1261,0.15485880395863205,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,0.99,0.001,998.4448275462488,1000,2048,geom_decay,
2048,55.0,1261,0.15485880395863205,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,0.99,0.001,998.4448275462488,1000,2048,geom_decay,
