Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
128,42.0,256,0.03230165800778195,"[2, 6, 6, 2, 1, 2, 2, 2, 7, 5, 0, 0, 1, 0, 5, 0, 4, 5, 5, 4, 2, 0, 0, 2, 1]",exponential,1000,0.005,0.001,999.8385047517229,1000,2048,exp_decay,25,888,0.5172791481018066
256,47.0,512,0.05753382801776752,"[4, 2, 1, 6, 2, 5, 3, 3, 2, 0, 4, 2, 5, 5, 5, 5, 5, 4, 5, 1, 0, 5, 2, 2, 0]",exponential,1000,0.005,0.001,999.7123722327109,1000,2048,exp_decay,25,888,0.5172791481018066
512,45.0,1023,0.1271863940055482,"[4, 4, 4, 4, 4, 3, 0, 0, 3, 6, 6, 2, 1, 1, 0, 1, 0, 2, 5, 5, 2, 3, 2, 7, 4]",exponential,1000,0.005,0.001,999.3642701918515,1000,2048,exp_decay,25,888,0.5172791481018066
1024,44.0,2037,0.37372773099923506,"[5, 1, 6, 3, 7, 3, 5, 6, 2, 3, 3, 6, 0, 1, 5, 0, 2, 6, 2, 6, 7, 2, 5, 2, 2]",exponential,1000,0.005,0.001,998.1331061632345,1000,2048,exp_decay,25,888,0.5172791481018066
2048,55.0,2286,0.5059720610151999,"[5, 0, 2, 4, 2, 5, 1, 4, 0, 3, 5, 7, 1, 0, 0, 0, 2, 7, 1, 4, 6, 2, 2, 3, 4]",exponential,1000,0.005,0.001,997.4733370946124,1000,2048,exp_decay,25,888,0.5172791481018066
0,47.0,0,0.0003824049490503967,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 5, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",exponential,1000,0.005,0.001,999.9980879770827,1000,2048,exp_decay,25,12345,0.19717812538146973
1,46.0,2,0.00262666295748204,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",exponential,1000,0.005,0.001,999.9868667714542,1000,2048,exp_decay,25,12345,0.19717812538146973
2,45.0,4,0.0051397839561104774,"[2, 5, 5, 1, 4, 1, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",exponential,1000,0.005,0.001,999.9743014104339,1000,2048,exp_decay,25,12345,0.19717812538146973
4,46.0,8,0.008846824988722801,"[2, 3, 5, 1, 4, 1, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 6]",exponential,1000,0.005,0.001,999.9557668533708,1000,2048,exp_decay,25,12345,0.19717812538146973
8,47.0,16,0.011903738952241838,"[4, 3, 5, 1, 4, 2, 6, 3, 5, 2, 1, 1, 6, 1, 3, 6, 1, 4, 7, 6, 0, 2, 1, 3, 6]",exponential,1000,0.005,0.001,999.9404830764411,1000,2048,exp_decay,25,12345,0.19717812538146973
16,47.0,32,0.0166983479866758,"[4, 3, 5, 1, 4, 2, 0, 3, 6, 2, 1, 1, 0, 1, 4, 6, 1, 4, 2, 6, 0, 2, 1, 3, 6]",exponential,1000,0.005,0.001,999.9165117454049,1000,2048,exp_decay,25,12345,0.19717812538146973
32,43.0,64,0.021044185967184603,"[2, 3, 5, 1, 4, 1, 2, 1, 6, 2, 1, 7, 0, 1, 3, 6, 1, 3, 6, 6, 2, 2, 6, 3, 6]",exponential,1000,0.005,0.001,999.8947846056919,1000,2048,exp_decay,25,12345,0.19717812538146973
