Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Algorithm,Wall_Clock_Time,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,Restarts,current_restart
1024,55.0,2002,0.18108894501347095,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000.0,0.5,2048,GA,0.1858830451965332,,,,,,,,
2048,55.0,2002,0.18108894501347095,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000.0,0.5,2048,GA,0.1858830451965332,,,,,,,,
0,47.0,1000,0.06610841199290007,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 5, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
1,54.0,2002,0.18391241499921307,"[1, 4, 2, 5, 2, 5, 5, 4, 5, 1, 7, 0, 3, 0, 1, 5, 1, 7, 6, 6, 5, 0, 3, 4, 3]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
2,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
4,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
8,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
16,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
32,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
64,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
128,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
256,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
512,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
1024,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
2048,55.0,3004,0.2945190079626627,"[1, 2, 0, 5, 5, 7, 3, 4, 2, 4, 1, 1, 7, 7, 0, 6, 1, 7, 5, 6, 2, 0, 3, 7, 1]",1000.0,0.5,2048,GA,0.29787302017211914,,,,,,,,
0,48.0,0,0.00022083998192101717,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.999171850525,750,,
1,47.0,2,0.003521852020639926,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.9867931712042,750,,
2,49.0,4,0.005412405007518828,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.9797037558517,750,,
4,48.0,8,0.010218446026556194,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.9616818062897,750,,
8,48.0,16,0.015495336032472551,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.9418947408086,750,,
16,47.0,32,0.03500412800349295,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.8687460064009,750,,
32,45.0,64,0.057663356012199074,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.7837935844208,750,,
64,48.0,128,0.06589536502724513,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.7529330847942,750,,
128,52.0,256,0.10368041699985042,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.611299196609,750,,
256,51.0,512,0.13364060601452366,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.4990151258917,750,,
512,51.0,1024,0.2097684170003049,"[6, 2, 5, 1, 4, 1, 1, 1, 3, 6, 0, 1, 0, 2, 2, 7, 7, 7, 2, 5, 6, 3, 2, 5, 1]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,749.2137808182065,750,,
1024,51.0,2028,0.471886507992167,"[6, 1, 7, 1, 2, 1, 4, 2, 3, 0, 0, 7, 5, 4, 6, 5, 5, 4, 0, 4, 7, 5, 4, 5, 6]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,748.2325115498668,750,,
2048,55.0,2881,0.7691414679866284,"[7, 6, 3, 4, 5, 6, 4, 5, 2, 1, 0, 1, 6, 2, 0, 4, 3, 7, 6, 7, 4, 5, 3, 6, 1]",,,2048,SA,0.7785539627075195,exponential,750.0,0.005,0.001,747.1212584417401,750,,
0,49.0,0,0.00027531798696145415,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.9989675582594,750,,
1,48.0,2,0.003443630994297564,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 1, 3, 2, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.9870864949451,750,,
2,49.0,4,0.007093553023878485,"[6, 2, 5, 7, 6, 3, 7, 6, 7, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 1, 3, 2, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.9733996478908,750,,
4,49.0,8,0.010290434991475195,"[6, 2, 5, 4, 6, 3, 7, 6, 7, 4, 5, 1, 0, 5, 5, 0, 1, 3, 0, 6, 1, 3, 2, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.9614118615123,750,,
8,49.0,16,0.012809375999495387,"[6, 0, 6, 4, 6, 3, 7, 6, 7, 4, 5, 1, 0, 1, 5, 0, 1, 3, 0, 6, 1, 3, 7, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.95196637822,750,,
16,50.0,32,0.01814014301635325,"[6, 2, 7, 2, 6, 3, 7, 6, 7, 4, 5, 0, 3, 1, 5, 1, 1, 1, 0, 3, 1, 3, 7, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.9319775485777,750,,
32,48.0,64,0.022292255016509444,"[6, 2, 7, 2, 6, 3, 7, 7, 2, 4, 5, 6, 7, 1, 5, 6, 5, 6, 0, 3, 2, 0, 6, 2, 6]",,,2048,SA,0.6274008750915527,exponential,750.0,0.005,0.001,749.916408702371,750,,
