Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0.004718067997600883,109.0,25.0,25,0.1,2048
1,0.03179448301671073,118.0,52.0,25,0.1,2048
2,0.06867936003254727,118.0,78.0,25,0.1,2048
3,0.12611364398617297,119.0,105.0,25,0.1,2048
4,0.13143305201083422,119.0,131.0,25,0.1,2048
5,0.13890462700510398,119.0,157.0,25,0.1,2048
6,0.2021795699838549,119.0,183.0,25,0.1,2048
7,0.20926544402027503,120.0,210.0,25,0.1,2048
8,0.22555375698721036,120.0,236.0,25,0.1,2048
9,0.23920535802608356,120.0,262.0,25,0.1,2048
10,0.2506708779837936,120.0,288.0,25,0.1,2048
11,0.2792061860091053,120.0,314.0,25,0.1,2048
12,0.2897064760327339,121.0,341.0,25,0.1,2048
13,0.29792073799762875,121.0,367.0,25,0.1,2048
14,0.30615173699334264,122.0,394.0,25,0.1,2048
15,0.31398262100992724,122.0,420.0,25,0.1,2048
16,0.31791211903328076,122.0,446.0,25,0.1,2048
17,0.3248506120289676,122.0,472.0,25,0.1,2048
18,0.3285358230350539,122.0,498.0,25,0.1,2048
19,0.33222288999240845,123.0,525.0,25,0.1,2048
0,0.004718067997600883,109.0,50.0,50,0.1,2048
1,0.03179448301671073,116.0,102.0,50,0.1,2048
2,0.06867936003254727,116.0,153.0,50,0.1,2048
3,0.12611364398617297,117.0,205.0,50,0.1,2048
4,0.13143305201083422,117.0,256.0,50,0.1,2048
5,0.13890462700510398,119.0,308.0,50,0.1,2048
6,0.2021795699838549,119.0,359.0,50,0.1,2048
7,0.20926544402027503,119.0,410.0,50,0.1,2048
8,0.22555375698721036,119.0,461.0,50,0.1,2048
9,0.23920535802608356,119.0,512.0,50,0.1,2048
10,0.2506708779837936,119.0,563.0,50,0.1,2048
11,0.2792061860091053,119.0,614.0,50,0.1,2048
12,0.2897064760327339,121.0,666.0,50,0.1,2048
13,0.29792073799762875,121.0,717.0,50,0.1,2048
14,0.30615173699334264,121.0,768.0,50,0.1,2048
15,0.31398262100992724,121.0,819.0,50,0.1,2048
16,0.31791211903328076,121.0,870.0,50,0.1,2048
17,0.3248506120289676,121.0,921.0,50,0.1,2048
18,0.3285358230350539,121.0,972.0,50,0.1,2048
19,0.33222288999240845,121.0,1023.0,50,0.1,2048
20,0.005390528007410467,121.0,1074.0,50,0.1,2048
21,0.018408748030196875,121.0,1125.0,50,0.1,2048
22,0.03645735501777381,121.0,1176.0,50,0.1,2048
23,0.04931515600765124,121.0,1227.0,50,0.1,2048
24,0.0635710500064306,121.0,1278.0,50,0.1,2048
25,0.07810125302057713,122.0,1330.0,50,0.1,2048
26,0.08628259599208832,122.0,1381.0,50,0.1,2048
27,0.09616125700995326,122.0,1432.0,50,0.1,2048
28,0.10376326501136646,123.0,1484.0,50,0.1,2048
0,0.004718067997600883,109.0,100.0,100,0.1,2048
1,0.03179448301671073,117.0,202.0,100,0.1,2048
2,0.06867936003254727,117.0,303.0,100,0.1,2048
3,0.12611364398617297,120.0,405.0,100,0.1,2048
4,0.13143305201083422,120.0,506.0,100,0.1,2048
5,0.13890462700510398,120.0,607.0,100,0.1,2048
6,0.2021795699838549,120.0,708.0,100,0.1,2048
7,0.20926544402027503,120.0,809.0,100,0.1,2048
8,0.22555375698721036,120.0,910.0,100,0.1,2048
