Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
128,1.0,256,0.021176365000428632,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",exponential,750,0.005,0.001,749.9205928352103,750,2048,exp_decay,25,888,1.657656192779541,
256,3.0,512,0.03742641300777905,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",exponential,750,0.005,0.001,749.8596640823055,750,2048,exp_decay,25,888,1.657656192779541,
512,0.0,1022,0.10092030899249949,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",exponential,750,0.005,0.001,749.6216443087394,750,2048,exp_decay,25,888,1.657656192779541,
1024,2.0,2026,0.3498903120053001,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",exponential,750,0.005,0.001,748.6890583787658,750,2048,exp_decay,25,888,1.657656192779541,
2048,46.0,2978,1.6468511339917313,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",exponential,750,0.005,0.001,743.8496647150029,750,2048,exp_decay,25,888,1.657656192779541,
0,0.0,0,0.00012031799997203052,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",exponential,750,0.005,0.001,749.9995488076357,750,2048,exp_decay,25,12345,0.8946239948272705,
1,0.0,2,0.0016803049948066473,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",exponential,750,0.005,0.001,749.9936988827391,750,2048,exp_decay,25,12345,0.8946239948272705,
2,0.0,4,0.003012590983416885,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",exponential,750,0.005,0.001,749.9887028688964,750,2048,exp_decay,25,12345,0.8946239948272705,
4,1.0,8,0.004344262008089572,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",exponential,750,0.005,0.001,749.9837091943991,750,2048,exp_decay,25,12345,0.8946239948272705,
8,2.0,16,0.006120267004007474,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",exponential,750,0.005,0.001,749.977049349897,750,2048,exp_decay,25,12345,0.8946239948272705,
16,2.0,32,0.007929827988846228,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",exponential,750,0.005,0.001,749.9702637345545,750,2048,exp_decay,25,12345,0.8946239948272705,
32,0.0,64,0.011604593979427591,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",exponential,750,0.005,0.001,749.9564840350521,750,2048,exp_decay,25,12345,0.8946239948272705,
64,0.0,128,0.023204511002404615,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",exponential,750,0.005,0.001,749.9129881315082,750,2048,exp_decay,25,12345,0.8946239948272705,
128,6.0,256,0.03271047098678537,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",exponential,750,0.005,0.001,749.8773457642675,750,2048,exp_decay,25,12345,0.8946239948272705,
